action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
"Standardizing Permitting for Emergency, Affordable and Middle Housing",Washington,"Promote Certainty in Permitting Process,Shift Culture",Action,Regulatory Change,"The Washington 2025 legislative session took action to standardize the permitting process for emergency, affordable and middle housing in counties and cities planning under the Growth Management Act (GMA). One law reformed building codes for GMA-planning counties to ease affordable housing permitting and required middle housing sizes be comparable with average the market-rate size. A second law barred cities and counties out of compliance with GMA housing requirements from denying or imposing overly burdensome conditions on affordable housing. A third law required middle housing in GMA-planning counties to face permitting and environmental review no stricter than single-family homes in urban growth areas and similar designated zones. The overall impact is to standardize and streamline permitting for affordable and middle housing by removing local barriers and tying permitting authority to state growth-management.
","2025-04-22,2025-05-13,2025-05-20",2025-07-27,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/1183-S2.PL.pdf?q=20260609134505

https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/5148-S2.PL.pdf

https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/Senate%20Passed%20Legislature/5471.PL.pdf


","recItmMzjaXuE1YOG,recrugCbeQs1iihBd,recij8pl7xIqhmnG2","Chapter 139, 2025 Laws,Chapter 269, 2025 Laws,Chapter 386, 2025 Laws."
Document Search Portal,Connecticut,Utilize Data and Technology,Tool,Dashboard/Portal,"The DEEP Document Online Search Portal includes a collection of documents electronically produced or digitally scanned by the Agency. The portal is searchable by a variety of fields.
",,2024-01-01,General,Fully Implemented,"https://filings.deep.ct.gov/DEEPDocumentSearchPortal

",,
Capping Permitting and Building Fees,Illinois,Promote Certainty in Permitting Process,Action,Regulatory Change,"The Act caps and defines “reasonable” permitting fees by providing that county siting or special use application fees and building permit fees for commercial wind and solar are presumptively reasonable only up to specified dollar limits per megawatt of nameplate capacity (with total caps), thereby limiting the use of high local fees as an indirect barrier to obtaining permits.
",2023-01-27,2023-01-27,Clean Energy,Fully Implemented,"https://www.ilga.gov/documents/legislation/publicacts/102/PDF/102-1123.pdf
",recbwxc595ItIk22O,Public Act 102-1123
Approving Minor Modifications to an Existing Structure on a Resort ,Florida,"Shift Culture,Consolidate or Eliminate Steps",Action,Regulatory Change,"Florida Chapter 2026-7 requires local governments to approve, without further action, any application for a modification, or refurbishment of an existing structure or site on the resort property that is not a contributing structure listed in the National Register of Historic Places. 
",2026-03-27,2026-07-01,Housing and Other Building Construction,Not Started,"https://www.flsenate.gov/Session/Bill/2026/399/BillText/er/PDF
",recQqBMX5a3VvKnVt,Chapter 2026-7
Enhancing environmental oversight for emerging infrastructure,Minnesota,"Shift Culture,Benefits for Nature/Communities",Action,Regulatory Change,"- Requiring the Commission to complete (i) an environmental impact statement (EIS) under the Minnesota Environmental Policy Act, Minn. Stat. Ch. 116D and Minn. R. 4410, for all carbon dioxide (CO2) pipelines, and (ii) a general study evaluating specific issues related to routing CO2 pipelines
",2024-05-24,,"General,Fossil Fuels",Partially Implemented,"https://www.fredlaw.com/alert-minnesota-legislature-passes-historic-permitting-reform-bill
",recKCYCmzHQdE6QQQ,HF 5247 / SF 4942
Protecting Minimum Square Footage Floors and Siting Standards for Manufactured Homes ,Idaho,"Consolidate or Eliminate Steps,Change Decision-Making Level,Promote Certainty in Permitting Process",Action,Regulatory Change,"A 2026 Executive Order requires that manufacture homes being allowed on any lot zoned for single family housing. State law now supersedes local zoning authority, hence setting equal requirements for manufactured home siting. 
Local governments cannot require manufactured homes to be larger than the minimums of 400 square feet (single-section homes), or 800 square feet (multi-section homes) as a condition of siting approval. 

",2026-03-26,2026-07-01,Housing and Other Building Construction,Not Started,"https://legislature.idaho.gov/sessioninfo/billbookmark/?yr=2026&bn=H0800
",recyMKDRY0kSS8cXa,"Chapter 171, (2026 laws)"
Creating Advisory Bodies to Speed Development Projects,Montana,Change Decision-Making Level,Action,Reorganization or Creation of New Government Offices,"Housing Advisory Council - EO 5-2022 created the Council and EO 3-2023 continued it past its initial term. The Council during its terms recommended and helped to implement several permitting-related reforms, such as eliminating certain public hearings and establishing standard timelines for permit approvals.

Energy Task Force - EO 6-2025 created the task force with the specific strategy of working towards more efficient permitting for energy projects

Red Tape Relief Advisory Council - EO 1-2021 created the Council, with members across 13 state agencies, to identify and eliminate burdensome regulations, including those regarding permitting. 
","2022-07-13,2023-06-29,2021-01-05",,General,Fully Implemented,"https://news.mt.gov/Governors-Office/Governor_Gianforte_Names_Members_of_Unleashing_American-Made_Energy_Task_Force

https://deq.mt.gov/files/About/Housing/HTF-PIII-final-report-2024.pdf

","recH7m0jhfvnQHUeG,recppySZmSxXD3LwO,recOgsrWiuuWYGMSU,recAmUf7YjQzbS15v","EO 5-2022,EO 3-2023,EO 6-2025,EO 1-2021 "
Requiring Oregon Department of Energy and Public Utilities Commission with developing a transmission corridor strategic framework for the Legislature.,Oregon,"Change Decision-Making Level,Promote Certainty in Permitting Process,Utilize Data and Technology",Action,"Written Resource,Regulatory Change","EO 25-29 assigned Oregon Department of Energy (ODOE) and Public Utilities Commission (PUC) as co-leads on developing a strategic framework for transmission corridor designation, to be delivered to the Oregon Legislature as the basis for future action. Prior to this assignment, corridor decisions had been handled on a project-by-project basis through Energy Facility Siting Council's site certificate process. No agency had a standing charge to produce a statewide transmission planning document. In practice, ODOE and PUC are now expected to identify specific geographic corridors where transmission infrastructure should be prioritized (for example, connecting eastern Oregon wind and solar resources to the Willamette Valley), recommend which projects should receive targeted state financial support, and propose streamlining mechanisms such as pre-cleared land use determinations for corridor-aligned projects. 
",2025-11-18,2025-11-18,"Clean Energy,General",Partially Implemented,"https://www.oregon.gov/gov/eo/eo-25-29.pdf
",recVBQQt39oEBWpC4,EO 25-29
"Establishing the Housing Production Advisory Council and set a statewide housing production goal of 36,000 units per year",Oregon,"Shift Culture,Set Projects up for Success,Building the Permitting Workforce,Promote Certainty in Permitting Process",Action,"Other,Reorganization or Creation of New Government Offices,Regulatory Change","EO 23-04 established the Housing Production Advisory Council (HPAC) and set a statewide target of 36,000 housing units per year, an 80% increase over prevailing construction rates. The Council was tasked with producing an action plan addressing land use, permitting, and workforce barriers. Its February 2024 final report was substantially incorporated into SB 1537 (2024), which created the Housing Accountability and Production Office and established permitting streamlining and UGB expansion mechanisms. 
",2023-01-10,2023-01-10,"Housing and Other Building Construction,General",,"https://www.oregon.gov/gov/eo/eo-23-04.pdf
",recdK1J0mkPqivZaN,EO 23-04
Electronic Natural Diversity Database (NDDB),Connecticut,Utilize Data and Technology,Tool,Dashboard/Portal,"This automated review system determines whether proposed projects impact endangered, threatened, or special concern species through real-time GIS intersection analysis. In its first five months, NDDB processed 447 applications with **42% receiving immediate automated approval**—eliminating 191 manual biologist reviews and freeing specialized staff for complex cases requiring expert judgment. Previously, 100% of applications required manual review with wait times up to two months. The system achieved **100% immediate determination** of review type required and exceeded its 20BY20 goal of 60% immediate response.

Zero downtime occurred in the first five months, and the system earned NASCIO (National Association of State Chief Information Officers) award recognition in 2023 for business process innovation. 

User testimonials emphasized simplicity: ""WOW, I did not think this was going to be so simple"" and ""I hit submit and as soon as it finished processing the decision letter hit my email."" 
",,2022-11-01,General,Fully Implemented,"https://portal.ct.gov/deep/nddb/natural-diversity-data-base-maps

https://www.nascio.org/wp-content/uploads/2023/08/CT_BusinessProcessInnovation.pdf

",,
